NAME,HEIGHT,WEIGHT,REACH,STANCE,DOB,SLpM,StrAcc,SApM,StrDef,TDAvg,TDAcc,TDDef,SubAvg
Alex Andrade,1.8034,200.0,72.0,Orthodox,1974.0,0.2,36.0,2.6,53.0,0.0,0.0,25.0,0.8
Jessica Andrade,1.5494,115.0,62.0,Orthodox,1991.0,6.38,49.0,5.26,53.0,3.11,57.0,76.0,0.4
Viscardi Andrade,1.8034,170.0,75.0,Orthodox,1984.0,3.26,42.0,2.77,63.0,1.93,50.0,66.0,0.3
Collin Anglin,1.7526,145.0,71.0,Orthodox,1993.0,5.87,55.0,3.47,58.0,3.0,75.0,100.0,0.0
Julius Anglickas,1.905,205.0,72.0,Orthodox,1991.0,4.62,78.0,1.86,50.0,4.47,50.0,60.0,1.1
Dylan Andrews,1.8542,185.0,74.0,Switch,1979.0,2.21,50.0,2.72,46.0,2.83,50.0,57.0,0.4
Reese Andy,1.8288,205.0,72.0,Orthodox,1973.0,2.87,50.0,3.5,58.0,0.67,20.0,40.0,0.0
Magomed Ankalaev,1.905,205.0,75.0,Orthodox,1992.0,3.58,56.0,1.36,68.0,0.62,33.0,85.0,0.0
Nina Ansaroff,1.651,115.0,64.0,Orthodox,1985.0,4.81,47.0,3.55,54.0,0.29,40.0,77.0,0.6
Gadzhimurad Antigulov,1.8034,205.0,70.0,Orthodox,1987.0,2.08,55.0,4.21,40.0,5.08,36.0,0.0,1.4
Adam Antolin,1.651,125.0,63.0,Orthodox,1982.0,5.73,52.0,5.0,69.0,0.0,0.0,100.0,0.0
Azunna Anyanwu,1.8542,251.0,72.0,Orthodox,1981.0,2.47,42.0,2.47,69.0,0.65,100.0,0.0,0.0
Shinsho Anzai,1.7018,170.0,70.0,Orthodox,1985.0,3.23,58.0,3.75,45.0,1.83,16.0,75.0,0.0
Josh Appelt,1.778,255.0,72.0,Southpaw,1983.0,1.35,40.0,11.5,32.0,0.0,0.0,33.0,0.0
