Name,HEIGHT,WEIGHT,REACH,STANCE,DOB,SLpM,Str. Acc..,SApM,Str. Def,TD Avg,TD Acc,TD Def.,Sub. Avg
Rafael Alves,1.7271999999999998,145 ,68,Orthodox, 1990,2.02,45,3.66,59,0.0,0,100,1.9
Maiara Amanajas dos Santos,1.651,115 ,,Southpaw, 1987,5.53,35,24.47,33,0.0,0,100,0.0
Alen Amedovski,1.778,185 ,74,Orthodox, 1988,0.52,28,3.14,37,0.0,0,0,0.0
Chris Amarante,,185 ,,,,0.0,0,0.0,0,0.0,0,0,0.0
Andre Amado,1.8288,154 ,,Orthodox,,2.27,24,5.91,63,0.0,0,20,0.0
Jimmy Ambriz,1.8796,315 ,,Southpaw, 1970,0.83,29,3.76,40,3.13,57,100,0.8
JJ Ambrose,1.778,170 ,,Orthodox,,3.16,69,6.32,33,0.0,0,50,0.0
Bertrand Amoussou,1.7271999999999998,190 ,,Orthodox,,6.75,39,2.01,83,0.0,0,0,0.0
Makwan Amirkhani,1.778,145 ,72,Southpaw, 1988,1.42,44,2.63,51,3.37,37,57,1.4
Eryk Anders,1.8541999999999998,185 ,75,Southpaw, 1987,3.02,45,4.18,51,1.34,34,80,0.1
Andy Anderson,1.6764,240 ,,, 1974,0.0,0,0.0,0,0.0,0,0,0.0
Lowell Anderson,1.6764,160 ,,Orthodox,,0.0,0,0.0,0,0.0,0,0,0.0
Matt Andersen,1.8796,230 ,,Southpaw, 1971,0.0,0,0.0,0,0.0,0,0,0.0
Karl Amoussou,1.8034,185 ,,Orthodox, 1985,1.47,34,2.67,54,0.0,0,25,1.0
Megan Anderson,1.8288,145 ,72,Orthodox, 1990,1.82,46,2.94,38,0.56,33,53,0.6
Derek Anderson,1.8288,155 ,,, 1990,3.97,37,3.08,61,0.34,14,60,0.0
Corey Anderson,1.905,205 ,79,Orthodox, 1989,4.43,46,2.22,59,4.89,50,83,0.0
Alex Andrade,1.8034,200 ,,Orthodox, 1974,0.2,36,2.6,53,0.0,0,25,0.8
Jermaine Andre,1.7018,200 ,,Orthodox,,0.0,0,0.0,0,0.0,0,0,0.0
Jessica Andrade,1.5493999999999999,115 ,62,Orthodox, 1991,6.38,49,5.26,53,3.11,57,76,0.4
Viscardi Andrade,1.8034,170 ,75,Orthodox, 1984,3.26,42,2.77,63,1.93,50,66,0.3
Collin Anglin,1.7526,145 ,71,Orthodox, 1993,5.87,55,3.47,58,3.0,75,100,0.0
Julius Anglickas,1.905,205 ,,Orthodox, 1991,4.62,78,1.86,50,4.47,50,60,1.1
Dylan Andrews,1.8541999999999998,185 ,74,Switch, 1979,2.21,50,2.72,46,2.83,50,57,0.4
Reese Andy,1.8288,205 ,,Orthodox, 1973,2.87,50,3.5,58,0.67,20,40,0.0
Yoji Anjo,1.8034,205 ,,Orthodox, 1967,0.0,0,3.13,25,0.0,0,0,0.0
Magomed Ankalaev,1.905,205 ,75,Orthodox, 1992,3.58,56,1.36,68,0.62,33,85,0.0
Nina Ansaroff,1.651,115 ,64,Orthodox, 1985,4.81,47,3.55,54,0.29,40,77,0.6
Gadzhimurad Antigulov,1.8034,205 ,70,Orthodox, 1987,2.08,55,4.21,40,5.08,36,0,1.4
Adam Antolin,1.651,125 ,63,Orthodox, 1982,5.73,52,5.0,69,0.0,0,100,0.0
Angelo Antonio,,205 ,,Orthodox,,1.09,50,7.64,50,0.0,0,0,0.0
Azunna Anyanwu,1.8541999999999998,251 ,,Orthodox, 1981,2.47,42,2.47,69,0.65,100,0,0.0
Shinsho Anzai,1.7018,170 ,70,Orthodox, 1985,3.23,58,3.75,45,1.83,16,75,0.0
Josh Appelt,1.778,255 ,,Southpaw, 1983,1.35,40,11.5,32,0.0,0,33,0.0
Kenji Arai,1.778,145 ,,Southpaw, 1979,8.79,27,10.29,39,0.0,0,0,0.0
Romie Aram,1.778,170 ,,Orthodox, 1977,1.8,35,2.83,50,2.5,62,83,0.0
Erik Apple,1.8288,170 ,,Orthodox, 1977,0.0,0,0.54,81,0.0,0,0,8.1
Shinya Aoki,1.8034,154 ,,Southpaw, 1983,0.97,58,1.25,58,2.54,41,60,4.0
Julio Arce,1.7018,145 ,70,Southpaw, 1989,4.25,36,2.87,67,0.58,30,93,0.6
Igor Araujo,1.8541999999999998,170 ,77,Orthodox, 1980,1.52,42,2.86,49,0.86,15,22,0.6
Viviane Araujo,1.6256,125 ,68,Orthodox, 1986,4.77,50,5.32,56,1.88,53,92,0.0
Felipe Arantes,1.7271999999999998,135 ,73,Orthodox, 1988,2.37,45,2.66,64,0.93,47,41,0.7
Art Arciniega,1.7271999999999998,145 ,,, 1981,1.53,46,2.73,51,0.0,0,50,1.0
Joey Armstrong,,,,,,0.0,0,0.0,0,0.0,0,0,0.0
Tristan Arenal,,155 ,,,,0.0,0,0.0,0,0.0,0,0,0.0
Austin Arnett,1.8288,145 ,72,Orthodox, 1991,4.52,41,6.38,62,0.44,18,57,0.2
Chalid Arrab,1.8034,205 ,,Orthodox, 1975,1.56,34,1.63,56,3.05,75,37,1.0
Antonio Arroyo,1.905,185 ,73,Orthodox, 1989,3.08,70,1.72,44,1.4,41,32,0.3
Ricardo Arona,1.8034,205 ,,Orthodox, 1978,1.66,48,1.15,57,2.41,48,58,1.2
Akbarh Arreola,1.778,155 ,71,Southpaw, 1983,2.32,45,4.01,56,1.07,100,33,0.4
Gilles Arsene,1.7526,190 ,,Southpaw,,0.06,10,2.45,32,0.0,0,0,0.0
Andrei Arlovski,1.905,240 ,77,Orthodox, 1979,3.48,44,2.77,58,0.48,36,79,0.3
Veta Arteaga,1.7018,125 ,,,,3.2,36,1.92,65,0.0,0,40,0.0
Matt Arroyo,1.778,170 ,72,Orthodox, 1982,1.62,47,2.01,58,2.12,36,100,5.3
Cyril Asker,1.8288,247 ,74,Orthodox, 1985,3.35,39,5.82,35,4.41,62,100,0.9
Teddy Ash,1.8541999999999998,185 ,73,Switch, 1989,7.27,61,6.8,28,0.0,0,100,0.0
Cesar Arzamendia,1.8034,155 ,,Orthodox, 1991,5.37,45,5.2,56,7.32,75,0,2.4
Arman Ashimov,1.6764,125 ,,, 1992,0.0,0,0.0,0,0.0,0,0,0.0
Askar Askarov,1.6764,125 ,67,Orthodox, 1992,3.2,52,2.51,55,2.0,18,64,0.0
Raphael Assuncao,1.651,135 ,66,Orthodox, 1982,3.26,40,2.33,68,1.48,38,80,0.3
Ibo Aslan,1.905,205 ,,, 1996,0.0,0,0.0,0,0.0,0,0,0.0
Scott Askham,1.905,185 ,75,Southpaw, 1988,3.03,46,3.52,52,0.44,18,65,0.7
Bruno Assis,1.8796,185 ,,Orthodox, 1992,1.27,43,3.2,36,2.0,50,66,1.0
Ben Askren,1.8034,170 ,73,Orthodox, 1984,3.64,49,5.66,36,4.33,55,0,0.9
Tom Aspinall,1.9558,256 ,78,Orthodox, 1993,11.14,74,2.57,71,6.43,100,0,0.0
Junior Assuncao,1.7526,145 ,72,Orthodox, 1981,3.31,62,2.06,44,2.43,24,66,0.7
Bazigit Atajev,1.8541999999999998,230 ,,Orthodox,,0.87,41,3.14,49,1.0,33,0,0.0
Olivier Aubin-Mercier,1.7526,155 ,70,Southpaw, 1989,2.48,51,2.97,55,2.36,33,70,0.5
Pat Audinwood,1.8288,155 ,,Orthodox, 1986,1.17,12,4.31,41,0.8,50,0,0.0
Jose Augusto,1.905,251 ,,, 1992,0.0,0,0.0,0,0.0,0,0,0.0
Rich Attonito,1.778,170 ,72,Orthodox, 1977,2.28,47,2.13,59,0.74,37,75,0.0
Marcus Aurelio,1.778,155 ,74,Orthodox, 1973,1.42,33,2.27,59,1.69,27,27,1.3
David Avellan,1.7526,185 ,,Orthodox,,3.33,25,10.0,57,0.0,0,0,0.0
